energy zenith azimuth antennas alpha Xmax srad muons target
7.59021e+17 50.6696 252.789 6 76.6838 615.647 5.06873e+06 1.11418 1
2.757e+18 35.2048 324.917 6 77.1643 688.596 3.90951e+07 0.799806 1
4.42878e+17 41.1449 283.393 5 85.7533 603.41 1.68779e+06 0.780048 1
1.80482e+18 49.5867 311.857 18 86.5562 641.35 3.21618e+07 2.86215 1
9.87504e+17 45.5938 47.633 6 31.2524 631.247 2.37673e+06 1.36693 1
2.49649e+17 33.3488 257.338 8 87.841 635.227 522408 0.644372 1
6.67859e+17 42.4807 308.759 5 88.8507 656.039 3.70349e+06 1.08351 1
1.07513e+18 48.8293 211.418 8 87.8136 671.421 1.11546e+07 1.86195 1
4.84804e+17 46.6087 359.562 6 64.9865 622.409 1.51613e+06 0.780329 1
7.84509e+17 46.8205 270.298 10 79.3133 666.21 5.24584e+06 1.30698 1
2.53866e+17 44.6537 250.213 20 82.4487 621.608 518401 0.589041 1
3.10417e+17 53.4104 347.232 28 76.7893 616.293 891249 0.666243 1
1.5962e+18 34.3106 239.194 6 85.1509 621.662 3.60984e+07 2.61344 1
8.28654e+17 38.6976 274.384 7 87.1131 657.676 4.27807e+06 1.46046 1
8.57566e+17 49.4842 315.273 12 88.0689 639.273 6.84904e+06 1.50146 1
2.83298e+17 42.3917 265.29 17 83.1622 616.999 638960 0.475822 1
4.49734e+17 38.1303 201.615 5 74.7834 596.68 1.62964e+06 0.898312 1
5.95918e+17 44.8927 208.42 7 82.4574 642.176 3.04834e+06 1.01575 1
2.99081e+17 54.8953 278.611 30 71.1659 640.577 640044 0.604076 1
4.9971e+17 49.6135 212.569 11 88.3034 621.575 2.83456e+06 0.939745 1
3.41366e+17 54.2444 298.571 35 76.8491 609.006 906792 0.60844 1
5.08413e+17 54.6742 192.664 41 80.7543 636.017 2.48161e+06 1.10967 1
6.91807e+17 51.4442 230.356 8 81.8361 646.437 4.25866e+06 1.2769 1
2.66967e+17 49.3502 246.878 6 78.9505 657.412 642691 0.468236 1
2.54771e+17 47.6387 228.37 24 85.6432 616.561 470940 0.658604 1
3.69175e+17 48.5033 305.912 7 84.5488 606.818 1.42279e+06 0.625416 1
5.18379e+17 52.4091 187.033 11 76.1583 601.683 2.35957e+06 0.673217 1
3.8087e+17 51.9943 320.675 9 88.8398 654.81 1.27538e+06 0.692437 1
1.45908e+18 43.5816 286.665 10 83.8289 667.3 1.76199e+07 2.33542 1
5.23345e+17 47.4234 271.298 5 78.167 652.002 1.97748e+06 0.782787 1
7.14157e+17 51.5453 284.837 7 75.1061 647.135 4.79389e+06 1.09642 1
5.69316e+17 37.714 295.426 7 88.4857 611.245 2.47361e+06 1.10754 1
3.43674e+17 50.7612 210.694 8 88.3584 677.285 916288 0.476176 1
1.6571e+18 51.8033 182.94 14 72.8883 631.944 2.25576e+07 2.53404 1
8.76209e+17 53.1173 6.5393 11 63.0756 651.344 6.18907e+06 1.10562 1
8.39081e+17 50.5151 296.391 6 80.2647 612.109 6.83953e+06 1.39858 1
7.05299e+17 41.2245 307.539 6 87.8403 606.143 4.70537e+06 1.10681 1
2.55061e+17 30.4651 151.304 6 47.0776 615.281 288608 0.252007 1
7.52141e+17 34.8809 298.387 5 84.803 645.92 7.86807e+06 1.29634 1
1.19473e+18 46.3606 53.069 6 27.4718 640.819 3.03469e+06 2.10722 1
4.78465e+17 53.0742 297.275 38 77.6375 611.366 2.19967e+06 0.869181 1
5.78655e+17 41.7733 227.133 7 88.4205 611.544 2.67772e+06 1.06194 1
3.80791e+17 20.8713 300.281 5 71.5993 601.522 1.44377e+06 0.953289 1
3.25059e+17 44.9809 347.58 6 71.5553 642.74 770486 0.722973 1
3.45799e+17 54.3964 223.994 33 81.824 611.443 1.17606e+06 0.611829 1
5.58073e+17 35.7091 242.225 5 87.0509 612.851 2.86949e+06 0.960909 1
7.72792e+17 44.2077 152.915 7 48.9342 655.766 2.70655e+06 1.07315 1
1.33763e+18 48.9976 10.596 8 58.1415 652.248 1.15669e+07 1.77778 1
2.40207e+17 49.5703 293.729 13 79.4835 621.42 466809 0.471433 1
1.91015e+18 45.763 162.151 10 55.7905 652.607 2.32297e+07 2.69362 1
